Team1,Team2,Score
Syracuse-2018,Michigan St-2018,2
Rhode Island-2018,Duke-2018,-25
Kansas-2018,Clemson-2018,4
Syracuse-2018,Duke-2018,-4
Kansas-2018,Duke-2018,4
Loyola-Chi-2018,Michigan-2018,-12
Villanova-2018,Kansas-2018,16
Michigan-2018,Villanova-2018,-17
Duke-2019,N Dakota St-2019,23
VCU-2019,Central FL-2019,-15
Miss State-2019,Liberty-2019,-4
VA Tech-2019,Saint Louis-2019,14
Maryland-2019,Belmont-2019,2
LSU-2019,Yale-2019,5
Louisville-2019,Minnesota-2019,-10
Michigan St-2019,Bradley-2019,11
Duke-2019,Central FL-2019,1
Liberty-2019,VA Tech-2019,-9
Maryland-2019,LSU-2019,-2
Minnesota-2019,Michigan St-2019,-20
Duke-2019,VA Tech-2019,2
LSU-2019,Michigan St-2019,-17
Duke-2019,Michigan St-2019,-1
Gonzaga-2019,F Dickinson-2019,38
Syracuse-2019,Baylor-2019,-9
Marquette-2019,Murray St-2019,-19
Florida St-2019,Vermont-2019,7
Buffalo-2019,Arizona St-2019,17
Texas Tech-2019,N Kentucky-2019,15
Nevada-2019,Florida-2019,-9
Michigan-2019,Montana-2019,19
Gonzaga-2019,Baylor-2019,12
Murray St-2019,Florida St-2019,-28
Buffalo-2019,Texas Tech-2019,-20
Florida-2019,Michigan-2019,-15
Gonzaga-2019,Florida St-2019,14
Texas Tech-2019,Michigan-2019,19
Gonzaga-2019,Texas Tech-2019,-6
Virginia-2019,Gard-Webb-2019,15
Mississippi-2019,Oklahoma-2019,-23
Wisconsin-2019,Oregon-2019,-18
Kansas St-2019,UC Irvine-2019,-6
Villanova-2019,St Marys-2019,4
Purdue-2019,Old Dominion-2019,13
Cincinnati-2019,Iowa-2019,-7
Tennessee-2019,Colgate-2019,7
Virginia-2019,Oklahoma-2019,12
Oregon-2019,UC Irvine-2019,19
Villanova-2019,Purdue-2019,-26
Iowa-2019,Tennessee-2019,-6
Virginia-2019,Oregon-2019,4
Purdue-2019,Tennessee-2019,5
Virginia-2019,Purdue-2019,5
N Carolina-2019,Iona-2019,15
Utah State-2019,Washington-2019,-17
Auburn-2019,N Mex State-2019,1
Kansas-2019,Northeastrn-2019,34
Iowa State-2019,Ohio State-2019,-3
Houston-2019,Georgia St-2019,29
Wofford-2019,Seton Hall-2019,16
Kentucky-2019,Abl Christian-2019,35
N Carolina-2019,Washington-2019,22
Auburn-2019,Kansas-2019,14
Ohio State-2019,Houston-2019,-15
Wofford-2019,Kentucky-2019,-6
N Carolina-2019,Auburn-2019,-17
Houston-2019,Kentucky-2019,-4
Auburn-2019,Kentucky-2019,6
Michigan St-2019,Texas Tech-2019,-10
Virginia-2019,Auburn-2019,1
Texas Tech-2019,Virginia-2019,-8
Gonzaga-2021,Norfolk St-2021,43
Oklahoma-2021,Missouri-2021,4
Creighton-2021,UCSB-2021,1
Virginia-2021,Ohio-2021,-4
USC-2021,Drake-2021,16
Kansas-2021,E Washingtn-2021,9
Oregon-2021,VCU-2021,1
Iowa-2021,Grd Canyon-2021,12
Gonzaga-2021,Oklahoma-2021,16
Creighton-2021,Ohio-2021,14
USC-2021,Kansas-2021,34
Oregon-2021,Iowa-2021,15
Gonzaga-2021,Creighton-2021,18
USC-2021,Oregon-2021,14
Gonzaga-2021,USC-2021,19
Michigan-2021,TX Southern-2021,16
LSU-2021,St Bonavent-2021,15
Colorado-2021,Georgetown-2021,23
Florida St-2021,NC-Grnsboro-2021,10
BYU-2021,UCLA-2021,-11
Texas-2021,Abl Christian-2021,-1
Connecticut-2021,Maryland-2021,-9
Alabama-2021,Iona-2021,13
Michigan-2021,LSU-2021,8
Colorado-2021,Florida St-2021,-18
UCLA-2021,Abl Christian-2021,20
Maryland-2021,Alabama-2021,-19
Michigan-2021,Florida St-2021,18
UCLA-2021,Alabama-2021,10
Michigan-2021,UCLA-2021,-2
Baylor-2021,Hartford-2021,24
N Carolina-2021,Wisconsin-2021,-23
Villanova-2021,Winthrop-2021,10
Purdue-2021,North Texas-2021,-9
Texas Tech-2021,Utah State-2021,12
Arkansas-2021,Colgate-2021,17
Florida-2021,VA Tech-2021,5
Ohio State-2021,Oral Roberts-2021,-3
Baylor-2021,Wisconsin-2021,13
Villanova-2021,North Texas-2021,23
Texas Tech-2021,Arkansas-2021,-2
Florida-2021,Oral Roberts-2021,-3
Baylor-2021,Villanova-2021,11
Arkansas-2021,Oral Roberts-2021,2
Baylor-2021,Arkansas-2021,9
Illinois-2021,Drexel-2021,29
Loyola-Chi-2021,GA Tech-2021,11
Tennessee-2021,Oregon St-2021,-14
Oklahoma St-2021,Liberty-2021,9
San Diego St-2021,Syracuse-2021,-16
W Virginia-2021,Morehead St-2021,17
Clemson-2021,Rutgers-2021,-4
Houston-2021,Cleveland St-2021,31
Illinois-2021,Loyola-Chi-2021,-13
Oregon St-2021,Oklahoma St-2021,10
Syracuse-2021,W Virginia-2021,3
Rutgers-2021,Houston-2021,-3
Loyola-Chi-2021,Oregon St-2021,-7
Syracuse-2021,Houston-2021,-16
Oregon St-2021,Houston-2021,-6
Gonzaga-2021,UCLA-2021,3
Baylor-2021,Houston-2021,19
Gonzaga-2021,Baylor-2021,-16
St Josephs-2004,Liberty-2004,19
Texas Tech-2004,Charlotte-2004,3
Manhattan-2004,Florida-2004,15
Wake Forest-2004,VCU-2004,1
Wisconsin-2004,Richmond-2004,12
Pittsburgh-2004,Central FL-2004,9
Memphis-2004,S Carolina-2004,16
Oklahoma St-2004,E Washingtn-2004,19
Kentucky-2004,Florida A&amp;M-2004,20
UAB-2004,Washington-2004,2
Pacific-2004,Providence-2004,8
Kansas-2004,IL-Chicago-2004,25
Boston Col-2004,Utah-2004,7
GA Tech-2004,N Iowa-2004,5
Nevada-2004,Michigan St-2004,6
Gonzaga-2004,Valparaiso-2004,27
Duke-2004,Alabama St-2004,35
Seton Hall-2004,Arizona-2004,4
Illinois-2004,Murray St-2004,19
Cincinnati-2004,E Tenn St-2004,3
N Carolina-2004,Air Force-2004,11
Texas-2004,Princeton-2004,17
Xavier-2004,Louisville-2004,10
Miss State-2004,Monmouth-2004,33
Stanford-2004,TX-San Ant-2004,26
Alabama-2004,S Illinois-2004,1
Syracuse-2004,BYU-2004,5
Maryland-2004,TX El Paso-2004,3
Vanderbilt-2004,W Michigan-2004,13
NC State-2004,LA Lafayette-2004,9
DePaul-2004,Dayton-2004,7
Connecticut-2004,Vermont-2004,17
St Josephs-2004,Texas Tech-2004,5
Wake Forest-2004,Manhattan-2004,4
Pittsburgh-2004,Wisconsin-2004,4
Oklahoma St-2004,Memphis-2004,17
UAB-2004,Kentucky-2004,1
Kansas-2004,Pacific-2004,15
GA Tech-2004,Boston Col-2004,3
Nevada-2004,Gonzaga-2004,19
Duke-2004,Seton Hall-2004,28
Illinois-2004,Cincinnati-2004,24
Texas-2004,N Carolina-2004,3
Xavier-2004,Miss State-2004,15
Alabama-2004,Stanford-2004,3
Syracuse-2004,Maryland-2004,2
Vanderbilt-2004,NC State-2004,2
Connecticut-2004,DePaul-2004,17
St Josephs-2004,Wake Forest-2004,4
Oklahoma St-2004,Pittsburgh-2004,12
Kansas-2004,UAB-2004,26
GA Tech-2004,Nevada-2004,5
Duke-2004,Illinois-2004,10
Xavier-2004,Texas-2004,8
Alabama-2004,Syracuse-2004,9
Connecticut-2004,Vanderbilt-2004,20
Oklahoma St-2004,St Josephs-2004,2
GA Tech-2004,Kansas-2004,8
Duke-2004,Xavier-2004,3
Connecticut-2004,Alabama-2004,16
GA Tech-2004,Oklahoma St-2004,2
Connecticut-2004,Duke-2004,1
Connecticut-2004,GA Tech-2004,9
Oakland-2005,Alab A&amp;M-2005,10
N Carolina-2005,Oakland-2005,28
Iowa State-2005,Minnesota-2005,11
Villanova-2005,New Mexico-2005,8
Florida-2005,Ohio-2005,5
Wisconsin-2005,N Iowa-2005,5
Bucknell-2005,Kansas-2005,1
NC State-2005,Charlotte-2005,12
Connecticut-2005,Central FL-2005,6
Illinois-2005,F Dickinson-2005,12
Nevada-2005,Texas-2005,4
WI-Milwkee-2005,Alabama-2005,10
Boston Col-2005,U Penn-2005,20
UAB-2005,LSU-2005,14
Arizona-2005,Utah State-2005,13
S Illinois-2005,St Marys-2005,9
Oklahoma St-2005,SE Louisiana-2005,13
Duke-2005,Delaware St-2005,11
Miss State-2005,Stanford-2005,23
Michigan St-2005,Old Dominion-2005,8
Vermont-2005,Syracuse-2005,3
Utah-2005,TX El Paso-2005,6
Oklahoma-2005,Niagara-2005,17
Cincinnati-2005,Iowa-2005,12
Kentucky-2005,E Kentucky-2005,8
Washington-2005,Montana-2005,11
Pacific-2005,Pittsburgh-2005,8
GA Tech-2005,Geo Wshgtn-2005,12
Louisville-2005,LA Lafayette-2005,6
Texas Tech-2005,UCLA-2005,12
Gonzaga-2005,Winthrop-2005,10
W Virginia-2005,Creighton-2005,2
Wake Forest-2005,Chattanooga-2005,16
N Carolina-2005,Iowa State-2005,27
Villanova-2005,Florida-2005,11
Wisconsin-2005,Bucknell-2005,9
NC State-2005,Connecticut-2005,3
Illinois-2005,Nevada-2005,12
WI-Milwkee-2005,Boston Col-2005,8
Arizona-2005,UAB-2005,22
Oklahoma St-2005,S Illinois-2005,8
Duke-2005,Miss State-2005,8
Michigan St-2005,Vermont-2005,11
Utah-2005,Oklahoma-2005,9
Kentucky-2005,Cincinnati-2005,9
Washington-2005,Pacific-2005,18
Louisville-2005,GA Tech-2005,22
Texas Tech-2005,Gonzaga-2005,2
W Virginia-2005,Wake Forest-2005,6
N Carolina-2005,Villanova-2005,1
Wisconsin-2005,NC State-2005,9
Illinois-2005,WI-Milwkee-2005,14
Arizona-2005,Oklahoma St-2005,1
Michigan St-2005,Duke-2005,10
Kentucky-2005,Utah-2005,10
Louisville-2005,Washington-2005,14
W Virginia-2005,Texas Tech-2005,5
N Carolina-2005,Wisconsin-2005,6
Illinois-2005,Arizona-2005,1
Michigan St-2005,Kentucky-2005,6
Louisville-2005,W Virginia-2005,8
Illinois-2005,Louisville-2005,15
N Carolina-2005,Michigan St-2005,16
N Carolina-2005,Illinois-2005,5
Monmouth-2006,Hampton-2006,22
Connecticut-2006,Albany-2006,13
Kentucky-2006,UAB-2006,5
Washington-2006,Utah State-2006,14
Illinois-2006,Air Force-2006,9
Geo Mason-2006,Michigan St-2006,10
N Carolina-2006,Murray St-2006,4
Wichita St-2006,Seton Hall-2006,20
Tennessee-2006,Winthrop-2006,2
Villanova-2006,Monmouth-2006,13
Arizona-2006,Wisconsin-2006,19
Montana-2006,Nevada-2006,8
Boston Col-2006,Pacific-2006,12
WI-Milwkee-2006,Oklahoma-2006,8
Florida-2006,S Alabama-2006,26
Georgetown-2006,N Iowa-2006,5
Ohio State-2006,Davidson-2006,8
Duke-2006,Southern-2006,16
Geo Wshgtn-2006,NC-Wilmgton-2006,3
Texas A&amp;M-2006,Syracuse-2006,8
LSU-2006,Iona-2006,16
W Virginia-2006,S Illinois-2006,18
NW State-2006,Iowa-2006,1
NC State-2006,California-2006,6
Texas-2006,U Penn-2006,8
Memphis-2006,Oral Roberts-2006,16
Bucknell-2006,Arkansas-2006,4
Pittsburgh-2006,Kent State-2006,15
Bradley-2006,Kansas-2006,4
Indiana-2006,San Diego St-2006,4
Gonzaga-2006,Xavier-2006,4
Alabama-2006,Marquette-2006,5
UCLA-2006,Belmont-2006,34
Connecticut-2006,Kentucky-2006,4
Washington-2006,Illinois-2006,3
Geo Mason-2006,N Carolina-2006,5
Wichita St-2006,Tennessee-2006,7
Villanova-2006,Arizona-2006,4
Boston Col-2006,Montana-2006,13
Florida-2006,WI-Milwkee-2006,22
Georgetown-2006,Ohio State-2006,18
Duke-2006,Geo Wshgtn-2006,13
LSU-2006,Texas A&amp;M-2006,1
W Virginia-2006,NW State-2006,13
Texas-2006,NC State-2006,21
Memphis-2006,Bucknell-2006,16
Bradley-2006,Pittsburgh-2006,6
Gonzaga-2006,Indiana-2006,10
UCLA-2006,Alabama-2006,3
Connecticut-2006,Washington-2006,6
Geo Mason-2006,Wichita St-2006,8
Villanova-2006,Boston Col-2006,1
Florida-2006,Georgetown-2006,4
LSU-2006,Duke-2006,8
Texas-2006,W Virginia-2006,3
Memphis-2006,Bradley-2006,16
UCLA-2006,Gonzaga-2006,2
Geo Mason-2006,Connecticut-2006,2
Florida-2006,Villanova-2006,13
LSU-2006,Texas-2006,10
UCLA-2006,Memphis-2006,5
UCLA-2006,LSU-2006,14
Florida-2006,Geo Mason-2006,15
Florida-2006,UCLA-2006,16
Niagara-2007,Florida A&amp;M-2007,8
N Carolina-2007,E Kentucky-2007,21
Michigan St-2007,Marquette-2007,12
USC-2007,Arkansas-2007,17
Texas-2007,N Mex State-2007,12
Vanderbilt-2007,Geo Wshgtn-2007,33
Wash State-2007,Oral Roberts-2007,16
Boston Col-2007,Texas Tech-2007,9
Georgetown-2007,Belmont-2007,25
Florida-2007,Jackson St-2007,43
Purdue-2007,Arizona-2007,9
Butler-2007,Old Dominion-2007,11
Maryland-2007,Davidson-2007,12
Winthrop-2007,Notre Dame-2007,10
Oregon-2007,Miami (OH)-2007,2
UNLV-2007,GA Tech-2007,4
Wisconsin-2007,TX A&amp;M-CC-2007,13
Ohio State-2007,Central Conn-2007,21
Xavier-2007,BYU-2007,2
Tennessee-2007,Lg Beach St-2007,35
Virginia-2007,Albany-2007,27
Louisville-2007,Stanford-2007,20
Texas A&amp;M-2007,U Penn-2007,16
Nevada-2007,Creighton-2007,6
Memphis-2007,North Texas-2007,15
Kansas-2007,Niagara-2007,40
Kentucky-2007,Villanova-2007,9
VA Tech-2007,Illinois-2007,2
S Illinois-2007,Holy Cross-2007,10
VCU-2007,Duke-2007,2
Pittsburgh-2007,Wright State-2007,21
Indiana-2007,Gonzaga-2007,13
UCLA-2007,Weber State-2007,28
N Carolina-2007,Michigan St-2007,14
USC-2007,Texas-2007,19
Vanderbilt-2007,Wash State-2007,4
Georgetown-2007,Boston Col-2007,7
Florida-2007,Purdue-2007,7
Butler-2007,Maryland-2007,3
Oregon-2007,Winthrop-2007,14
UNLV-2007,Wisconsin-2007,6
Ohio State-2007,Xavier-2007,7
Tennessee-2007,Virginia-2007,3
Texas A&amp;M-2007,Louisville-2007,3
Memphis-2007,Nevada-2007,16
Kansas-2007,Kentucky-2007,12
S Illinois-2007,VA Tech-2007,15
Pittsburgh-2007,VCU-2007,5
UCLA-2007,Indiana-2007,5
N Carolina-2007,USC-2007,10
Georgetown-2007,Vanderbilt-2007,1
Florida-2007,Butler-2007,8
Oregon-2007,UNLV-2007,4
Ohio State-2007,Tennessee-2007,1
Memphis-2007,Texas A&amp;M-2007,1
Kansas-2007,S Illinois-2007,3
UCLA-2007,Pittsburgh-2007,9
Georgetown-2007,N Carolina-2007,12
Florida-2007,Oregon-2007,8
Ohio State-2007,Memphis-2007,16
UCLA-2007,Kansas-2007,13
Florida-2007,UCLA-2007,10
Ohio State-2007,Georgetown-2007,7
Florida-2007,Ohio State-2007,9
Ark Pine Bl-2010,Winthrop-2010,17
Kentucky-2010,E Tenn St-2010,29
W Virginia-2010,Morgan St-2010,27
New Mexico-2010,Montana-2010,5
Wisconsin-2010,Wofford-2010,4
Cornell-2010,Temple-2010,13
Washington-2010,Marquette-2010,2
Missouri-2010,Clemson-2010,8
Wake Forest-2010,Texas-2010,1
Syracuse-2010,Vermont-2010,23
Kansas St-2010,North Texas-2010,20
Pittsburgh-2010,Oakland-2010,23
Murray St-2010,Vanderbilt-2010,1
Butler-2010,TX El Paso-2010,18
Xavier-2010,Minnesota-2010,11
BYU-2010,Florida-2010,7
Gonzaga-2010,Florida St-2010,7
Duke-2010,Ark Pine Bl-2010,29
Villanova-2010,Rob Morris-2010,3
Baylor-2010,Sam Hous St-2010,9
Purdue-2010,Siena-2010,8
Texas A&amp;M-2010,Utah State-2010,16
Old Dominion-2010,Notre Dame-2010,1
St Marys-2010,Richmond-2010,9
California-2010,Louisville-2010,15
Kansas-2010,Lehigh-2010,16
Ohio State-2010,UCSB-2010,17
Ohio-2010,Georgetown-2010,13
Maryland-2010,Houston-2010,12
Michigan St-2010,N Mex State-2010,3
Tennessee-2010,San Diego St-2010,3
GA Tech-2010,Oklahoma St-2010,5
N Iowa-2010,UNLV-2010,3
Kentucky-2010,Wake Forest-2010,30
W Virginia-2010,Missouri-2010,9
Washington-2010,New Mexico-2010,18
Cornell-2010,Wisconsin-2010,18
Syracuse-2010,Gonzaga-2010,22
Kansas St-2010,BYU-2010,12
Xavier-2010,Pittsburgh-2010,3
Butler-2010,Murray St-2010,2
Duke-2010,California-2010,15
St Marys-2010,Villanova-2010,7
Baylor-2010,Old Dominion-2010,8
Purdue-2010,Texas A&amp;M-2010,2
N Iowa-2010,Kansas-2010,2
Ohio State-2010,GA Tech-2010,9
Tennessee-2010,Ohio-2010,15
Michigan St-2010,Maryland-2010,2
Kentucky-2010,Cornell-2010,17
W Virginia-2010,Washington-2010,13
Butler-2010,Syracuse-2010,4
Kansas St-2010,Xavier-2010,5
Duke-2010,Purdue-2010,13
Baylor-2010,St Marys-2010,23
Michigan St-2010,N Iowa-2010,7
Tennessee-2010,Ohio State-2010,3
W Virginia-2010,Kentucky-2010,7
Butler-2010,Kansas St-2010,7
Duke-2010,Baylor-2010,7
Michigan St-2010,Tennessee-2010,1
Duke-2010,W Virginia-2010,21
Butler-2010,Michigan St-2010,2
Duke-2010,Butler-2010,2
